job_id,source,title,location,category,url,raw_text,fetched_at
hn-49745940,hackernews,Astra for Law,,tech-news,https://openai.com/index/astra-for-law/,,2026-09-18T16:04:01
hn-49746618,hackernews,Bonsai 2 27B: Near-Lossless Compression in a 9x Smaller Footprint,,tech-news,https://prismml.com/news/bonsai-2-27b,,2026-09-18T16:04:01
hn-49749656,hackernews,Hacking OpenAI,,tech-news,https://www.hacktron.ai/blog/hacking-openai,,2026-09-18T16:04:01
hn-49750094,hackernews,The scourge of x86 emulation,,tech-news,https://fex-emu.com/Scourge-of-emulation/,,2026-09-18T16:04:01
hn-49750152,hackernews,Jemalloc 5.4.0,,tech-news,https://github.com/jemalloc/jemalloc/releases/tag/5.4.0,,2026-09-18T16:04:01
tencent-10001632,tencent,"Senior Researcher, Natural Language Processing",新加坡,,https:////tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSpring/Senior-Researcher--Natural-Language-Processing_R104225,"Responsible for NLP research and development including Chinese word segmentation, part-of-speech tagging, sentence analysis, and named entity recognition.
Responsible for text classification, sentiment analysis, data mining, text generation, topic analysis, label extraction, and other research and development job.
Optimize existing online algorithms, develop efficient and reliable NLP solutions by combining business needs and data.
Explore applications of NLP techniques and deep learning algorithms in games.
Follow the latest developments in academia and industry and quickly apply findings in your work.
Work Location: Singapore-CapitaSpring",2026-09-23T10:42:07
tencent-10002205,tencent,"Senior Researcher, Natural Language Processing",伦敦,,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/UK-London/Senior-Researcher--Natural-Language-Processing_R105817-1,"1. Responsible for NLP research and development including LLM reasoning, conversational agents, machine translation, part-of-speech tagging, sentence analysis and named entity recognition.
2. Optimize existing online algorithms, develop efficient and reliable NLP solutions by combining business needs and data.
3. Explore applications of NLP techniques and deep learning algorithms in games.
4. Follow the latest developments in academia and industry and quickly apply findings in your work.
Work Location: UK-London",2026-09-23T10:42:07
tencent-10002937,tencent,Agent Security Expert,新加坡,技术,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Agent-Security-Expert_R107950,"Business Unit
Cloud & Smart Industries Group (CSIG) is responsible for promoting the company's cloud and industry Internet strategy. CSIG explores the interactions between users and industries to create innovative solutions for smart industries via technological advancements such as cloud, AI, and network security. While driving the digitalization of retail, medical, education, transportation and other industries, CSIG helps companies serve users in smarter ways, building a new ecosystem of intelligent industries that connect users and businesses.

What the Role Entails
We are building the next-generation Agent security product to protect enterprise AI workloads at scale. As our Agent Security Expert, you will define the technical architecture for real-time agent defense and lead the product's security roadmap in a fast-emerging global market. You will work at the intersection of application security, AI safety, and systems engineering, shaping how enterprises safely deploy autonomous agents across their digital infrastructure.Own the end-to-end technical architecture of our Agent security product, making principled trade-offs across detection coverage, latency, and operational overhead.
Design and implement runtime guardrails — including prompt injection defense, unauthorized tool-call interception, behavioral drift detection, and real-time credential leak prevention.
Architect MCP and tool-chain supply-chain security capabilities against tool poisoning, cross-origin privilege escalation, and transitive trust abuse.
Build an automated agent red-teaming pipeline to continuously discover vulnerabilities, generate adversarial test cases, and harden defenses before production deployment.
Partner with product, engineering, and threat intelligence teams to translate emerging attack patterns into shipped security features, and mentor junior engineers on security-first design.

Who We Look For
8+ years of hands-on experience in security engineering, systems engineering, or a closely related field, with a track record of shipping production security components.
Deep expertise in at least two of: application security, cloud-native security, identity and access management (IAM), or offensive/defensive security operations.
Proficient in at least two of Go, Python, Rust, or C++, with experience building high-concurrency security services or detection pipelines.
Strong working knowledge of the LLM/Agent stack — RAG architectures, function calling, MCP protocol, and mainstream agent frameworks — and the unique attack surfaces they introduce.
Experience researching or shipping enterprise security products (EDR, CNAPP, AI-SPM, or equivalent); familiarity with sandboxing, eBPF, or container/virtualization isolation is a strong plus.

Equal Employment Opportunity at Tencent
As an equal opportunity employer, we firmly believe that diverse voices fuel our innovation and allow us to better serve our users and the community. We foster an environment where every employee of Tencent feels supported and inspired to achieve individual and common goals.
Work Location: Singapore-CapitaSky",2026-09-23T10:41:56
tencent-10002954,tencent,"Product Manager, WorkBuddy Enterprise — Agent Platform",新加坡,产品,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-CapitaSky/Product-Manager--WorkBuddy-Enterprise---Agent-Platform_R108009,"Business Unit
Cloud & Smart Industries Group (CSIG) is responsible for promoting the company's cloud and industry Internet strategy. CSIG explores the interactions between users and industries to create innovative solutions for smart industries via technological advancements such as cloud, AI, and network security. While driving the digitalization of retail, medical, education, transportation and other industries, CSIG helps companies serve users in smarter ways, building a new ecosystem of intelligent industries that connect users and businesses.

What the Role Entails
The Product Manager, WorkBuddy Enterprise —  will own the enterprise roadmap and customer success strategy for the WorkBuddy Enterprise platform, including WorkBuddy, CodeBuddy, and Managed Agents. This role drives the platform’s competitive positioning in the global enterprise AI market, covering the full lifecycle from architectural design to production-grade delivery for key enterprise customers.Define and own the enterprise product roadmap and go-to-market strategy for WorkBuddy Enterprise, driving platform competitiveness and customer adoption across international markets while aligning with business growth and commercial targets.
Lead the ecosystem and integration strategy for enterprise Skills, MCP, and Connector frameworks, enabling seamless interoperability across third-party, customer-built, and ecosystem services to support enterprise agent and digital employee deployments.
Establish reliability and evaluation (Eval) infrastructure, including eval harnesses, agent safety guardrails, trajectory replay, production telemetry, and automated regression testing, to elevate Proof of Concept success rates to production-grade standards.
Partner with sales and solutions teams to build a structured key-account delivery system, distilling implementation experience from top enterprise customers into reusable templates and best practices that accelerate time-to-value.
Manage product cost structures, resource planning, and compliance readiness across deployments, ensuring enterprise-grade data residency, tenant isolation, audit logging, and alignment with regional security and certification requirements.

Who We Look For
At least six years of product management experience, including at least three years in AI platforms, cloud platforms, developer tools, or enterprise SaaS, with a proven track record of independently owning platform products (PaaS, SDK, API, or SaaS) for enterprise customers.
Demonstrated commercial acumen with hands-on experience across the full product lifecycle, from product definition and design to go-to-market optimisation, including familiarity with ARR, gross margin, net revenue retention (NRR), and paid conversion metrics.
Deep understanding and practical use of AI and large language model products from providers such as Anthropic, OpenAI, Google, AWS, and Microsoft, together with knowledge of agent orchestration engineering and product design trade-offs.
Strong enterprise platform knowledge, including SSO, SCIM, RBAC, data residency, tenant isolation, and audit logging, with familiarity with domestic and international security compliance frameworks and certification processes.
Professional proficiency in English and Chinese, both written and verbal, is required to lead customer-facing engagements and product discussions in English with international enterprise clients, and to collaborate effectively with Chinese-speaking R&D, product, and commercial stakeholders at China headquarters.

Equal Employment Opportunity at Tencent
As an equal opportunity employer, we firmly believe that diverse voices fuel our innovation and allow us to better serve our users and the community. We foster an environment where every employee of Tencent feels supported and inspired to achieve individual and common goals.
Work Location: Singapore-CapitaSky",2026-09-23T10:41:56
tencent-10002979,tencent,Agent开发工程师,深圳,技术,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/Agent_R108051-1,"团队介绍
腾讯游戏商务部的主旨是建立腾讯与全球优质厂商的桥梁，服务与全球100+投资伙伴和重要厂商。持续扩大腾讯在全球互联网生态和游戏行业的影响力，利用敏锐的嗅觉捕捉高潜力商业合作机会，并帮助投资伙伴持续的成长。深耕亚太、欧美和新兴市场，与日本、韩国、美国、英国、法国、芬兰、德国等成熟市场和东南亚、中东、土耳其等新区域的伙伴建立了深度的战略合作关系，实现商业上的共赢。
商务部期待全球的优秀人才一同加入，通过全球的优质人才网络巩固和扩大腾讯与全球合作伙伴的合作关系，并为市场孵化更多优质的游戏产品。

岗位职责
1.负责部门 Agent 产品研发，与业务、Agent 产品及运营团队紧密合作，将业务需求转化为可实现、可验证、可量化的技术方案，承担架构设计、前后端开发、测试、部署及持续迭代的完整闭环。2.负责 Agent 核心能力建设，包括企业知识库、RAG、记忆系统、工具调用、业务 Agent、MCP，以及 Multi-Agent 与人机协作流程的设计和实施。
3.负责 Agent 与腾讯内部基础设施及产品的集成，包括模型与 Agent 平台、权限身份体系、知识库及数据平台，并通过 API、SDK、MCP等方式建设稳定、可复用的连接能力。
4.建设部门 Agent Benchmark、评测与可观测体系，通过自动化评测、回归测试、Tracing、日志监控和反馈闭环，持续优化任务成功率、生成质量、稳定性、响应速度及成本。
5.建设生产级工程与安全保障体系，包括 CI/CD、自动化测试、灰度发布、故障恢复、权限控制、操作审计和数据隔离，保障 Agent 产品安全稳定运行。

岗位要求
1.本科及以上学历，5 年以上软件研发经验，具备复杂系统或产品从0到1交付经验；能力和作品突出者可适当放宽。2.熟练掌握 JavaScript/TypeScript，熟悉 React 或 Vue 中至少一种主流前端框架。熟练使用 Python、Go、Java或基于 Node.js 的服务端开发技术，熟悉 API、数据库、缓存及异步任务，具备独立全栈交付能力。3.理解 Agent Loop、Memory、Tool Calling、RAG、MCP、Planning及 Multi-Agent 等技术，并具备实际 Agent 项目开发或生产落地经验。4.具备良好的工程、产品和跨团队协作能力，重视代码质量、测试、可观测性、安全性及上线结果，能够熟练使用 AI Coding 工具提升研发效率。加分项
生产级 Agent、开发者工具或企业知识助手的落地经验。
企业知识图谱、agent/LLM评测或反馈数据闭环经验。
企业数据库系统建设，多来源数据库治理经验。

腾讯致力于提供平等就业机会
在腾讯，我们始终秉承平等就业机会的原则，致力于为每一位员工打造公平、包容的工作环境。我们坚信，多元的声音能够激发出无限的创新活力，推动我们为用户和社会提供更优质的服务。我们用心营造一个充满支持与激励的氛围，帮助每一位员工找到属于自己的舞台，以实现个人及共同的发展目标。
Work Location: China-Shenzhen",2026-09-23T10:41:56
